epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,772.928,1.51846,1.48896,0.95431,0.37724,0.32319,0.28361,0.16418,1.39649,1.09194,0.89828,0.0033251,0.0033251,0.0700741
2,841.565,1.51497,1.15313,0.91915,0.44564,0.33104,0.29654,0.16857,1.42916,1.08787,0.90238,0.0065266,0.0065266,0.0399422
3,908.809,1.5854,1.16805,0.9273,0.42726,0.28029,0.25521,0.14344,1.53122,1.21747,0.92241,0.0095961,0.0095961,0.0096784
4,975.068,1.58695,1.1604,0.93031,0.41138,0.31605,0.2802,0.15762,1.4589,1.13331,0.91564,0.009406,0.009406,0.009406
5,1041.3,1.5432,1.1154,0.92182,0.41461,0.3367,0.29629,0.16796,1.43807,1.07503,0.90522,0.009208,0.009208,0.009208
6,1107.7,1.50204,1.07104,0.91281,0.43598,0.34339,0.31316,0.17837,1.42138,1.05466,0.90671,0.00901,0.00901,0.00901
7,1174.64,1.4895,1.05372,0.90859,0.45711,0.36259,0.33279,0.19058,1.38787,1.03165,0.89709,0.008812,0.008812,0.008812
8,1240.94,1.46138,1.02843,0.9061,0.47585,0.35659,0.34384,0.19594,1.38348,1.00744,0.89548,0.008614,0.008614,0.008614
9,1306.94,1.44208,1.00937,0.89996,0.47546,0.37756,0.35595,0.20595,1.3587,0.98694,0.89212,0.008416,0.008416,0.008416
10,1373.38,1.43501,0.99092,0.89931,0.50246,0.37501,0.36713,0.21233,1.346,0.96767,0.88861,0.008218,0.008218,0.008218
11,1439.62,1.39894,0.95775,0.89283,0.49109,0.38865,0.3741,0.21774,1.32964,0.95343,0.88648,0.00802,0.00802,0.00802
12,1506.54,1.39771,0.95071,0.89012,0.49973,0.37951,0.37192,0.21536,1.34264,0.95239,0.88832,0.007822,0.007822,0.007822
13,1572.86,1.40126,0.94319,0.88931,0.48996,0.39331,0.37731,0.22045,1.31935,0.93542,0.87983,0.007624,0.007624,0.007624
14,1639.25,1.37959,0.93495,0.88686,0.50474,0.38646,0.37445,0.21792,1.32994,0.94494,0.88269,0.007426,0.007426,0.007426
15,1705.29,1.37202,0.91809,0.88411,0.52118,0.39302,0.38802,0.22726,1.31029,0.92384,0.87962,0.007228,0.007228,0.007228
16,1772.12,1.35234,0.90544,0.88212,0.52301,0.40276,0.39585,0.23008,1.30621,0.91759,0.88014,0.00703,0.00703,0.00703
17,1838.69,1.36418,0.90667,0.88271,0.53376,0.40191,0.39847,0.23469,1.30194,0.91344,0.88001,0.006832,0.006832,0.006832
18,1905.06,1.34427,0.88711,0.878,0.52965,0.40176,0.40015,0.23498,1.2923,0.90963,0.87409,0.006634,0.006634,0.006634
19,1971.55,1.33241,0.87785,0.87715,0.52933,0.41246,0.40876,0.23918,1.29422,0.90317,0.87422,0.006436,0.006436,0.006436
20,2037.82,1.32344,0.86857,0.87304,0.53606,0.41496,0.41734,0.24592,1.28044,0.88879,0.87284,0.006238,0.006238,0.006238
21,2104.14,1.32589,0.86493,0.87581,0.53039,0.41916,0.4135,0.24458,1.28216,0.88627,0.87301,0.00604,0.00604,0.00604
22,2170.53,1.32724,0.86185,0.87306,0.5403,0.41029,0.40674,0.23962,1.29651,0.90245,0.87315,0.005842,0.005842,0.005842
23,2236.67,1.31218,0.84997,0.87056,0.5415,0.41974,0.41452,0.24386,1.28484,0.87777,0.87142,0.005644,0.005644,0.005644
24,2302.66,1.29268,0.83547,0.86895,0.53054,0.41793,0.41493,0.24499,1.26809,0.8797,0.86856,0.005446,0.005446,0.005446
25,2368.92,1.29481,0.83067,0.86671,0.53051,0.42393,0.41741,0.24684,1.26808,0.88031,0.8683,0.005248,0.005248,0.005248
